Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2
ODI # 875,New Zealand,Australia,Winner1stInning,Melbourne,"Jan 19, 1994",Australia,Australia,Away,Home,Second,First
ODI # 876,South Africa,Australia,Winner1stInning,Melbourne,"Jan 21, 1994",South Africa,Australia,Away,Home,First,Second
ODI # 877,South Africa,Australia,Winner1stInning,Sydney,"Jan 23, 1994",Australia,Australia,Away,Home,Second,First
ODI # 878,South Africa,Australia,Winner1stInning,Sydney,"Jan 25, 1994",Australia,Australia,Away,Home,Second,First
ODI # 879,Sri Lanka,India,Winner1stInning,Rajkot,"Feb 15, 1994",India,India,Away,Home,Second,First
ODI # 880,England,West Indies,Winner1stInning,Bridgetown,"Feb 16, 1994",England,West Indies,Away,Home,First,Second
ODI # 881,Sri Lanka,India,Winner2ndInning,Hyderabad,"Feb 18, 1994",India,India,Away,Home,First,Second
ODI # 882,Australia,South Africa,Winner1stInning,Johannesburg,"Feb 19, 1994",South Africa,South Africa,Away,Home,Second,First
ODI # 883,Sri Lanka,India,Winner2ndInning,Jalandhar,"Feb 20, 1994",Sri Lanka,India,Away,Home,Second,First
ODI # 884,Australia,South Africa,Winner1stInning,Centurion,"Feb 20, 1994",South Africa,South Africa,Away,Home,Second,First
ODI # 885,Australia,South Africa,Winner1stInning,Port Elizabeth,"Feb 22, 1994",Australia,South Africa,Away,Home,First,Second
ODI # 886,Australia,South Africa,Winner2ndInning,Durban,"Feb 24, 1994",South Africa,South Africa,Away,Home,First,Second
ODI # 887,England,West Indies,Winner2ndInning,Kingston,"Feb 26, 1994",West Indies,West Indies,Away,Home,First,Second
ODI # 888,England,West Indies,Winner1stInning,Kingstown,"Mar 2, 1994",West Indies,West Indies,Away,Home,Second,First
ODI # 889,Pakistan,New Zealand,Winner2ndInning,Dunedin,"Mar 3, 1994",Pakistan,New Zealand,Away,Home,Second,First
ODI # 890,England,West Indies,Winner1stInning,Port of Spain,"Mar 5, 1994",West Indies,West Indies,Away,Home,Second,First
ODI # 891,Pakistan,New Zealand,Winner1stInning,Auckland,"Mar 6, 1994",Pakistan,New Zealand,Away,Home,First,Second
ODI # 892,England,West Indies,Winner2ndInning,Port of Spain,"Mar 6, 1994",England,West Indies,Away,Home,Second,First
ODI # 893,Pakistan,New Zealand,Winner1stInning,Wellington,"Mar 9, 1994",Pakistan,New Zealand,Away,Home,First,Second
ODI # 895,Pakistan,New Zealand,Winner2ndInning,Christchurch,"Mar 16, 1994",New Zealand,New Zealand,Away,Home,First,Second
ODI # 896,India,New Zealand,Winner1stInning,Napier,"Mar 25, 1994",New Zealand,New Zealand,Away,Home,Second,First
ODI # 897,India,New Zealand,Winner2ndInning,Auckland,"Mar 27, 1994",India,New Zealand,Away,Home,Second,First
ODI # 898,India,New Zealand,Winner1stInning,Wellington,"Mar 30, 1994",India,New Zealand,Away,Home,First,Second
ODI # 899,India,New Zealand,Winner2ndInning,Christchurch,"Apr 2, 1994",New Zealand,New Zealand,Away,Home,First,Second
ODI # 900,Australia,South Africa,Winner2ndInning,East London,"Apr 2, 1994",Australia,South Africa,Away,Home,Second,First
ODI # 901,Australia,South Africa,Winner1stInning,Port Elizabeth,"Apr 4, 1994",South Africa,South Africa,Away,Home,Second,First
ODI # 902,Australia,South Africa,Winner1stInning,Cape Town,"Apr 6, 1994",Australia,South Africa,Away,Home,First,Second
ODI # 903,Australia,South Africa,Winner1stInning,Bloemfontein,"Apr 8, 1994",Australia,South Africa,Away,Home,First,Second
ODI # 904,India,U.A.E.,Winner1stInning,Sharjah,"Apr 13, 1994",India,U.A.E.,Away,Home,First,Second
ODI # 905,Sri Lanka,Australia,Winner2ndInning,Sharjah,"Apr 14, 1994",Australia,U.A.E.,Neutral,Neutral,First,Second
ODI # 906,Pakistan,India,Winner2ndInning,Sharjah,"Apr 15, 1994",Pakistan,U.A.E.,Neutral,Neutral,Second,First
ODI # 907,New Zealand,Australia,Winner2ndInning,Sharjah,"Apr 16, 1994",Australia,U.A.E.,Neutral,Neutral,First,Second
ODI # 908,Pakistan,U.A.E.,Winner2ndInning,Sharjah,"Apr 17, 1994",Pakistan,U.A.E.,Away,Home,Second,First
ODI # 909,Sri Lanka,New Zealand,Winner1stInning,Sharjah,"Apr 18, 1994",New Zealand,U.A.E.,Neutral,Neutral,Second,First
ODI # 910,India,Australia,Winner2ndInning,Sharjah,"Apr 19, 1994",India,U.A.E.,Neutral,Neutral,Second,First
ODI # 911,Pakistan,New Zealand,Winner1stInning,Sharjah,"Apr 20, 1994",Pakistan,U.A.E.,Neutral,Neutral,First,Second
ODI # 912,Pakistan,India,Winner1stInning,Sharjah,"Apr 22, 1994",Pakistan,U.A.E.,Neutral,Neutral,First,Second
ODI # 913,New Zealand,England,Winner1stInning,Birmingham,"May 19, 1994",England,England,Away,Home,Second,First
ODI # 914,Pakistan,Sri Lanka,Winner2ndInning,Colombo,"Aug 3, 1994",Pakistan,Sri Lanka,Away,Home,Second,First
ODI # 915,Pakistan,Sri Lanka,Winner2ndInning,Colombo,"Aug 6, 1994",Sri Lanka,Sri Lanka,Away,Home,First,Second
ODI # 916,Pakistan,Sri Lanka,Winner1stInning,Colombo,"Aug 7, 1994",Pakistan,Sri Lanka,Away,Home,First,Second
ODI # 917,Pakistan,Sri Lanka,Winner2ndInning,Colombo,"Aug 22, 1994",Pakistan,Sri Lanka,Away,Home,Second,First
ODI # 918,Pakistan,Sri Lanka,Winner1stInning,Colombo,"Aug 24, 1994",Pakistan,Sri Lanka,Away,Home,First,Second
ODI # 919,South Africa,England,Winner2ndInning,Birmingham,"Aug 25, 1994",England,England,Away,Home,First,Second
ODI # 920,South Africa,England,Winner2ndInning,Manchester,"Aug 27-28, 1994",England,England,Away,Home,First,Second
ODI # 922,India,Sri Lanka,Winner2ndInning,Colombo,"Sep 5, 1994",Sri Lanka,Sri Lanka,Away,Home,First,Second
ODI # 923,Pakistan,Australia,Winner1stInning,Colombo,"Sep 7, 1994",Australia,Sri Lanka,Neutral,Neutral,Second,First
ODI # 924,India,Australia,Winner1stInning,Colombo,"Sep 9, 1994",India,Sri Lanka,Neutral,Neutral,First,Second
ODI # 925,Pakistan,Sri Lanka,Winner2ndInning,Colombo,"Sep 11, 1994",Sri Lanka,Sri Lanka,Away,Home,First,Second
ODI # 926,Australia,Sri Lanka,Winner2ndInning,Colombo,"Sep 13, 1994",Sri Lanka,Sri Lanka,Away,Home,First,Second
ODI # 927,India,Sri Lanka,Winner2ndInning,Colombo,"Sep 17, 1994",India,Sri Lanka,Away,Home,Second,First
ODI # 928,South Africa,Australia,Winner1stInning,Lahore,"Oct 12, 1994",Australia,Pakistan,Neutral,Neutral,Second,First
ODI # 929,Australia,Pakistan,Winner2ndInning,Multan,"Oct 14, 1994",Australia,Pakistan,Away,Home,Second,First
ODI # 930,South Africa,Pakistan,Winner2ndInning,Karachi,"Oct 16, 1994",Pakistan,Pakistan,Away,Home,First,Second
ODI # 931,West Indies,India,Winner1stInning,Faridabad,"Oct 17, 1994",West Indies,India,Away,Home,First,Second
ODI # 932,South Africa,Australia,Winner1stInning,Faisalabad,"Oct 18, 1994",Australia,Pakistan,Neutral,Neutral,Second,First
ODI # 933,West Indies,India,Winner1stInning,Mumbai,"Oct 20, 1994",India,India,Away,Home,Second,First
ODI # 934,South Africa,Pakistan,Winner1stInning,Rawalpindi,"Oct 20, 1994",Pakistan,Pakistan,Away,Home,Second,First
ODI # 935,Australia,Pakistan,Winner2ndInning,Rawalpindi,"Oct 22, 1994",Pakistan,Pakistan,Away,Home,First,Second
ODI # 936,West Indies,India,Winner2ndInning,Chennai,"Oct 23, 1994",India,India,Away,Home,First,Second
ODI # 937,South Africa,Australia,Winner2ndInning,Peshawar,"Oct 24, 1994",Australia,Pakistan,Neutral,Neutral,First,Second
ODI # 939,New Zealand,India,Winner2ndInning,Vadodara,"Oct 28, 1994",India,India,Away,Home,First,Second
ODI # 940,South Africa,Pakistan,Winner2ndInning,Faisalabad,"Oct 28, 1994",Pakistan,Pakistan,Away,Home,First,Second
ODI # 941,West Indies,India,Winner1stInning,Kanpur,"Oct 30, 1994",West Indies,India,Away,Home,First,Second
ODI # 942,Australia,Pakistan,Winner1stInning,Lahore,"Oct 30, 1994",Australia,Pakistan,Away,Home,First,Second
ODI # 943,West Indies,New Zealand,Winner1stInning,Guwahati,"Nov 1, 1994",West Indies,India,Neutral,Neutral,First,Second
ODI # 944,New Zealand,India,Winner1stInning,Delhi,"Nov 3, 1994",India,India,Away,Home,Second,First
ODI # 945,Sri Lanka,Zimbabwe,Winner1stInning,Harare,"Nov 3, 1994",Sri Lanka,Zimbabwe,Away,Home,First,Second
ODI # 946,Sri Lanka,Zimbabwe,Winner1stInning,Harare,"Nov 5, 1994",Zimbabwe,Zimbabwe,Away,Home,Second,First
ODI # 947,West Indies,India,Winner1stInning,Kolkata,"Nov 5, 1994",India,India,Away,Home,Second,First
ODI # 948,Sri Lanka,Zimbabwe,Winner1stInning,Harare,"Nov 6, 1994",Sri Lanka,Zimbabwe,Away,Home,First,Second
ODI # 949,West Indies,India,Winner1stInning,Visakhapatnam,"Nov 7, 1994",India,India,Away,Home,Second,First
ODI # 950,West Indies,India,Winner2ndInning,Cuttack,"Nov 9, 1994",India,India,Away,Home,First,Second
ODI # 951,West Indies,India,Winner1stInning,Jaipur,"Nov 11, 1994",India,India,Away,Home,Second,First
ODI # 952,Zimbabwe,Australia,Winner2ndInning,Perth,"Dec 2, 1994",Australia,Australia,Away,Home,First,Second
ODI # 953,Sri Lanka,Pakistan,Winner2ndInning,Durban,"Dec 2, 1994",Pakistan,South Africa,Neutral,Neutral,First,Second
ODI # 954,Sri Lanka,Pakistan,Winner1stInning,Centurion,"Dec 4, 1994",Pakistan,South Africa,Neutral,Neutral,Second,First
ODI # 955,England,Australia,Winner1stInning,Sydney,"Dec 6, 1994",Australia,Australia,Away,Home,Second,First
ODI # 956,New Zealand,South Africa,Winner1stInning,Cape Town,"Dec 6, 1994",South Africa,South Africa,Away,Home,Second,First
ODI # 957,Zimbabwe,Australia,Winner1stInning,Hobart,"Dec 8, 1994",Australia,Australia,Away,Home,Second,First
ODI # 959,Pakistan,South Africa,Winner2ndInning,Johannesburg,"Dec 10, 1994",South Africa,South Africa,Away,Home,First,Second
ODI # 960,New Zealand,South Africa,Winner1stInning,Centurion,"Dec 11, 1994",South Africa,South Africa,Away,Home,Second,First
ODI # 961,Pakistan,New Zealand,Winner2ndInning,Port Elizabeth,"Dec 13, 1994",Pakistan,South Africa,Neutral,Neutral,Second,First
ODI # 962,Zimbabwe,England,Winner1stInning,Sydney,"Dec 15, 1994",Zimbabwe,Australia,Neutral,Neutral,First,Second
ODI # 963,Sri Lanka,South Africa,Winner1stInning,Bloemfontein,"Dec 15, 1994",Sri Lanka,South Africa,Away,Home,First,Second
ODI # 964,Pakistan,South Africa,Winner2ndInning,Durban,"Dec 17, 1994",Pakistan,South Africa,Away,Home,Second,First
ODI # 965,Sri Lanka,New Zealand,Winner2ndInning,East London,"Dec 18, 1994",Sri Lanka,South Africa,Neutral,Neutral,Second,First
ODI # 966,Pakistan,New Zealand,Winner2ndInning,East London,"Dec 19, 1994",Pakistan,South Africa,Neutral,Neutral,Second,First
ODI # 967,Sri Lanka,South Africa,Winner1stInning,Port Elizabeth,"Dec 21, 1994",South Africa,South Africa,Away,Home,Second,First
ODI # 968,Zimbabwe,England,Winner1stInning,Brisbane,"Jan 7, 1995",England,Australia,Neutral,Neutral,Second,First
ODI # 969,England,Australia,Winner1stInning,Melbourne,"Jan 10, 1995",England,Australia,Away,Home,First,Second
ODI # 970,Pakistan,South Africa,Winner1stInning,Cape Town,"Jan 10, 1995",South Africa,South Africa,Away,Home,Second,First
ODI # 971,Pakistan,South Africa,Winner1stInning,Johannesburg,"Jan 12, 1995",South Africa,South Africa,Away,Home,Second,First
ODI # 972,West Indies,New Zealand,Winner1stInning,Auckland,"Jan 22, 1995",West Indies,New Zealand,Away,Home,First,Second
ODI # 973,West Indies,New Zealand,Winner1stInning,Wellington,"Jan 25, 1995",West Indies,New Zealand,Away,Home,First,Second
ODI # 974,West Indies,New Zealand,Winner2ndInning,Christchurch,"Jan 28, 1995",West Indies,New Zealand,Away,Home,Second,First
ODI # 975,South Africa,Australia,Winner2ndInning,Wellington,"Feb 15, 1995",Australia,New Zealand,Neutral,Neutral,First,Second
ODI # 976,India,New Zealand,Winner2ndInning,Napier,"Feb 16, 1995",New Zealand,New Zealand,Away,Home,First,Second
ODI # 977,South Africa,India,Winner1stInning,Hamilton,"Feb 18, 1995",South Africa,New Zealand,Neutral,Neutral,First,Second
ODI # 978,Australia,New Zealand,Winner1stInning,Auckland,"Feb 19, 1995",Australia,New Zealand,Away,Home,First,Second
ODI # 979,India,Australia,Winner2ndInning,Dunedin,"Feb 22, 1995",India,New Zealand,Neutral,Neutral,Second,First
ODI # 981,South Africa,New Zealand,Winner1stInning,Christchurch,"Feb 23-24, 1995",New Zealand,New Zealand,Away,Home,Second,First
ODI # 982,Pakistan,Zimbabwe,Winner2ndInning,Harare,"Feb 25, 1995",Pakistan,Zimbabwe,Away,Home,Second,First
ODI # 983,Australia,New Zealand,Winner2ndInning,Auckland,"Feb 26, 1995",Australia,New Zealand,Away,Home,Second,First
ODI # 984,Pakistan,Zimbabwe,Winner1stInning,Harare,"Feb 26, 1995",Zimbabwe,Zimbabwe,Away,Home,Second,First
ODI # 985,Australia,West Indies,Winner1stInning,Bridgetown,"Mar 8, 1995",West Indies,West Indies,Away,Home,Second,First
ODI # 986,Australia,West Indies,Winner1stInning,Port of Spain,"Mar 11, 1995",Australia,West Indies,Away,Home,First,Second
ODI # 987,Australia,West Indies,Winner1stInning,Port of Spain,"Mar 12, 1995",West Indies,West Indies,Away,Home,Second,First
ODI # 988,Australia,West Indies,Winner2ndInning,Kingstown,"Mar 15, 1995",West Indies,West Indies,Away,Home,First,Second
ODI # 989,Australia,West Indies,Winner2ndInning,Georgetown,"Mar 18, 1995",West Indies,West Indies,Away,Home,First,Second
ODI # 990,Sri Lanka,New Zealand,Winner1stInning,Christchurch,"Mar 26, 1995",New Zealand,New Zealand,Away,Home,Second,First
ODI # 991,Sri Lanka,New Zealand,Winner1stInning,Hamilton,"Mar 29, 1995",New Zealand,New Zealand,Away,Home,Second,First
ODI # 992,Sri Lanka,New Zealand,Winner1stInning,Auckland,"Apr 1, 1995",Sri Lanka,New Zealand,Away,Home,First,Second
ODI # 993,India,Bangladesh,Winner2ndInning,Sharjah,"Apr 5, 1995",India,U.A.E.,Neutral,Neutral,Second,First
ODI # 994,Sri Lanka,Bangladesh,Winner1stInning,Sharjah,"Apr 6, 1995",Sri Lanka,U.A.E.,Neutral,Neutral,First,Second
ODI # 995,Pakistan,India,Winner1stInning,Sharjah,"Apr 7, 1995",Pakistan,U.A.E.,Neutral,Neutral,First,Second
ODI # 996,Pakistan,Bangladesh,Winner2ndInning,Sharjah,"Apr 8, 1995",Pakistan,U.A.E.,Neutral,Neutral,Second,First
ODI # 997,Sri Lanka,India,Winner2ndInning,Sharjah,"Apr 9, 1995",India,U.A.E.,Neutral,Neutral,First,Second
ODI # 998,Sri Lanka,Pakistan,Winner2ndInning,Sharjah,"Apr 11, 1995",Sri Lanka,U.A.E.,Neutral,Neutral,Second,First
ODI # 999,Sri Lanka,India,Winner2ndInning,Sharjah,"Apr 14, 1995",India,U.A.E.,Neutral,Neutral,First,Second
ODI # 1000,West Indies,England,Winner2ndInning,Nottingham,"May 24-25, 1995",West Indies,England,Away,Home,Second,First
ODI # 1001,West Indies,England,Winner1stInning,The Oval,"May 26, 1995",England,England,Away,Home,Second,First
ODI # 1002,West Indies,England,Winner1stInning,Lord's,"May 28, 1995",England,England,Away,Home,Second,First
ODI # 1003,Sri Lanka,Pakistan,Winner2ndInning,Gujranwala,"Sep 29, 1995",Pakistan,Pakistan,Away,Home,First,Second
ODI # 1004,Sri Lanka,Pakistan,Winner1stInning,Faisalabad,"Oct 1, 1995",Sri Lanka,Pakistan,Away,Home,First,Second
ODI # 1005,Sri Lanka,Pakistan,Winner2ndInning,Rawalpindi,"Oct 3, 1995",Sri Lanka,Pakistan,Away,Home,Second,First
ODI # 1006,West Indies,Sri Lanka,Winner1stInning,Sharjah,"Oct 11, 1995",Sri Lanka,U.A.E.,Neutral,Neutral,Second,First
ODI # 1007,Sri Lanka,Pakistan,Winner1stInning,Sharjah,"Oct 12, 1995",Pakistan,U.A.E.,Neutral,Neutral,Second,First
ODI # 1008,West Indies,Pakistan,Winner1stInning,Sharjah,"Oct 13, 1995",Pakistan,U.A.E.,Neutral,Neutral,Second,First
ODI # 1009,West Indies,Pakistan,Winner2ndInning,Sharjah,"Oct 15, 1995",West Indies,U.A.E.,Neutral,Neutral,Second,First
ODI # 1010,West Indies,Sri Lanka,Winner1stInning,Sharjah,"Oct 16, 1995",West Indies,U.A.E.,Neutral,Neutral,First,Second
ODI # 1011,Sri Lanka,Pakistan,Winner2ndInning,Sharjah,"Oct 17, 1995",Sri Lanka,U.A.E.,Neutral,Neutral,Second,First
ODI # 1012,West Indies,Sri Lanka,Winner1stInning,Sharjah,"Oct 20, 1995",Sri Lanka,U.A.E.,Neutral,Neutral,Second,First
ODI # 1013,South Africa,Zimbabwe,Winner1stInning,Harare,"Oct 21, 1995",South Africa,Zimbabwe,Away,Home,First,Second
ODI # 1014,South Africa,Zimbabwe,Winner1stInning,Harare,"Oct 22, 1995",South Africa,Zimbabwe,Away,Home,First,Second
ODI # 1015,New Zealand,India,Winner2ndInning,Jamshedpur,"Nov 15, 1995",New Zealand,India,Away,Home,Second,First
ODI # 1016,New Zealand,India,Winner2ndInning,Amritsar,"Nov 18, 1995",India,India,Away,Home,First,Second
ODI # 1017,New Zealand,India,Winner2ndInning,Pune,"Nov 24, 1995",India,India,Away,Home,First,Second
ODI # 1018,New Zealand,India,Winner1stInning,Nagpur,"Nov 26, 1995",New Zealand,India,Away,Home,First,Second
ODI # 1019,New Zealand,India,Winner2ndInning,Mumbai,"Nov 29, 1995",India,India,Away,Home,First,Second
ODI # 1020,Pakistan,New Zealand,Winner1stInning,Dunedin,"Dec 15, 1995",Pakistan,New Zealand,Away,Home,First,Second
ODI # 1021,West Indies,Sri Lanka,Winner2ndInning,Adelaide,"Dec 15, 1995",Sri Lanka,Australia,Neutral,Neutral,First,Second
ODI # 1022,Pakistan,New Zealand,Winner2ndInning,Christchurch,"Dec 17, 1995",New Zealand,New Zealand,Away,Home,First,Second
ODI # 1023,West Indies,Australia,Winner1stInning,Adelaide,"Dec 17, 1995",Australia,Australia,Away,Home,Second,First
ODI # 1024,West Indies,Australia,Winner1stInning,Melbourne,"Dec 19, 1995",Australia,Australia,Away,Home,Second,First
ODI # 1025,Pakistan,New Zealand,Winner1stInning,Wellington,"Dec 20, 1995",Pakistan,New Zealand,Away,Home,First,Second
ODI # 1026,Sri Lanka,Australia,Winner2ndInning,Sydney,"Dec 21, 1995",Australia,Australia,Away,Home,First,Second
ODI # 1027,Pakistan,New Zealand,Winner1stInning,Auckland,"Dec 23, 1995",New Zealand,New Zealand,Away,Home,Second,First
ODI # 1028,West Indies,Australia,Winner2ndInning,Sydney,"Jan 1, 1996",Australia,Australia,Away,Home,First,Second
ODI # 1029,West Indies,Sri Lanka,Winner1stInning,Hobart,"Jan 3, 1996",West Indies,Australia,Neutral,Neutral,First,Second
ODI # 1030,West Indies,Sri Lanka,Winner2ndInning,Brisbane,"Jan 5, 1996",West Indies,Australia,Neutral,Neutral,Second,First
ODI # 1031,West Indies,Australia,Winner1stInning,Brisbane,"Jan 7, 1996",West Indies,Australia,Away,Home,First,Second
ODI # 1032,Sri Lanka,Australia,Winner2ndInning,Melbourne,"Jan 9, 1996",Sri Lanka,Australia,Away,Home,Second,First
ODI # 1033,England,South Africa,Winner1stInning,Cape Town,"Jan 9, 1996",South Africa,South Africa,Away,Home,Second,First
ODI # 1034,England,South Africa,Winner2ndInning,Bloemfontein,"Jan 11, 1996",England,South Africa,Away,Home,Second,First
ODI # 1035,Sri Lanka,Australia,Winner1stInning,Perth,"Jan 12, 1996",Australia,Australia,Away,Home,Second,First
ODI # 1036,England,South Africa,Winner2ndInning,Johannesburg,"Jan 13, 1996",South Africa,South Africa,Away,Home,First,Second
ODI # 1037,West Indies,Sri Lanka,Winner1stInning,Perth,"Jan 14, 1996",Sri Lanka,Australia,Neutral,Neutral,Second,First
ODI # 1038,England,South Africa,Winner2ndInning,Centurion,"Jan 14, 1996",South Africa,South Africa,Away,Home,First,Second
ODI # 1039,Sri Lanka,Australia,Winner2ndInning,Melbourne,"Jan 16, 1996",Sri Lanka,Australia,Away,Home,Second,First
ODI # 1040,England,South Africa,Winner2ndInning,Durban,"Jan 17, 1996",South Africa,South Africa,Away,Home,First,Second
ODI # 1041,Sri Lanka,Australia,Winner1stInning,Melbourne,"Jan 18, 1996",Australia,Australia,Away,Home,Second,First
ODI # 1042,England,South Africa,Winner1stInning,East London,"Jan 19, 1996",South Africa,South Africa,Away,Home,Second,First
ODI # 1043,Sri Lanka,Australia,Winner1stInning,Sydney,"Jan 20, 1996",Australia,Australia,Away,Home,Second,First
ODI # 1044,England,South Africa,Winner1stInning,Port Elizabeth,"Jan 21, 1996",South Africa,South Africa,Away,Home,Second,First
ODI # 1045,Zimbabwe,New Zealand,Winner1stInning,Auckland,"Jan 28, 1996",New Zealand,New Zealand,Away,Home,Second,First
ODI # 1046,Zimbabwe,New Zealand,Winner2ndInning,Wellington,"Jan 31, 1996",New Zealand,New Zealand,Away,Home,First,Second
ODI # 1047,Zimbabwe,New Zealand,Winner1stInning,Napier,"Feb 3, 1996",Zimbabwe,New Zealand,Away,Home,First,Second
ODI # 1048,New Zealand,England,Winner1stInning,Ahmedabad,"Feb 14, 1996",New Zealand,India,Neutral,Neutral,First,Second
ODI # 1049,U.A.E.,South Africa,Winner1stInning,Rawalpindi,"Feb 16, 1996",South Africa,Pakistan,Neutral,Neutral,Second,First
ODI # 1050,Zimbabwe,West Indies,Winner2ndInning,Hyderabad,"Feb 16, 1996",West Indies,India,Neutral,Neutral,First,Second
ODI # 1051,New Zealand,Netherlands,Winner1stInning,Vadodara,"Feb 17, 1996",New Zealand,India,Neutral,Neutral,First,Second
ODI # 1052,Kenya,India,Winner2ndInning,Cuttack,"Feb 18, 1996",India,India,Away,Home,First,Second
ODI # 1053,U.A.E.,England,Winner2ndInning,Peshawar,"Feb 18, 1996",England,Pakistan,Neutral,Neutral,First,Second
ODI # 1054,South Africa,New Zealand,Winner2ndInning,Faisalabad,"Feb 20, 1996",South Africa,Pakistan,Neutral,Neutral,Second,First
ODI # 1055,Zimbabwe,Sri Lanka,Winner2ndInning,Colombo,"Feb 21, 1996",Sri Lanka,Sri Lanka,Away,Home,First,Second
ODI # 1056,West Indies,India,Winner2ndInning,Gwalior,"Feb 21, 1996",India,India,Away,Home,First,Second
ODI # 1057,Netherlands,England,Winner1stInning,Peshawar,"Feb 22, 1996",England,Pakistan,Neutral,Neutral,Second,First
ODI # 1058,Kenya,Australia,Winner1stInning,Visakhapatnam,"Feb 23, 1996",Australia,India,Neutral,Neutral,Second,First
ODI # 1059,U.A.E.,Pakistan,Winner2ndInning,Gujranwala,"Feb 24, 1996",Pakistan,Pakistan,Away,Home,First,Second
ODI # 1060,South Africa,England,Winner1stInning,Rawalpindi,"Feb 25, 1996",South Africa,Pakistan,Neutral,Neutral,First,Second
ODI # 1062,Netherlands,Pakistan,Winner2ndInning,Lahore,"Feb 26, 1996",Pakistan,Pakistan,Away,Home,First,Second
ODI # 1063,Zimbabwe,Kenya,Winner2ndInning,Patna,"Feb 27, 1996",Zimbabwe,India,Neutral,Neutral,Second,First
ODI # 1064,U.A.E.,New Zealand,Winner1stInning,Faisalabad,"Feb 27, 1996",New Zealand,Pakistan,Neutral,Neutral,Second,First
ODI # 1065,Australia,India,Winner1stInning,Mumbai,"Feb 27, 1996",Australia,India,Away,Home,First,Second
ODI # 1066,West Indies,Kenya,Winner1stInning,Pune,"Feb 29, 1996",Kenya,India,Neutral,Neutral,Second,First
ODI # 1067,South Africa,Pakistan,Winner2ndInning,Karachi,"Feb 29, 1996",South Africa,Pakistan,Away,Home,Second,First
ODI # 1068,Zimbabwe,Australia,Winner2ndInning,Nagpur,"Mar 1, 1996",Australia,India,Neutral,Neutral,First,Second
ODI # 1069,U.A.E.,Netherlands,Winner2ndInning,Lahore,"Mar 1, 1996",U.A.E.,Pakistan,Neutral,Neutral,Second,First
ODI # 1070,Sri Lanka,India,Winner2ndInning,Delhi,"Mar 2, 1996",Sri Lanka,India,Away,Home,Second,First
ODI # 1071,England,Pakistan,Winner2ndInning,Karachi,"Mar 3, 1996",Pakistan,Pakistan,Away,Home,First,Second
ODI # 1072,West Indies,Australia,Winner2ndInning,Jaipur,"Mar 4, 1996",West Indies,India,Neutral,Neutral,Second,First
ODI # 1073,South Africa,Netherlands,Winner1stInning,Rawalpindi,"Mar 5, 1996",South Africa,Pakistan,Neutral,Neutral,First,Second
ODI # 1075,Zimbabwe,India,Winner1stInning,Kanpur,"Mar 6, 1996",India,India,Away,Home,Second,First
ODI # 1074,Kenya,Sri Lanka,Winner1stInning,Kandy,"Mar 6, 1996",Sri Lanka,Sri Lanka,Away,Home,Second,First
ODI # 1076,New Zealand,Pakistan,Winner1stInning,Lahore,"Mar 6, 1996",Pakistan,Pakistan,Away,Home,Second,First
ODI # 1077,Sri Lanka,England,Winner2ndInning,Faisalabad,"Mar 9, 1996",Sri Lanka,Pakistan,Neutral,Neutral,Second,First
ODI # 1078,Pakistan,India,Winner1stInning,Bengaluru,"Mar 9, 1996",India,India,Away,Home,Second,First
ODI # 1079,West Indies,South Africa,Winner1stInning,Karachi,"Mar 11, 1996",West Indies,Pakistan,Neutral,Neutral,First,Second
ODI # 1080,New Zealand,Australia,Winner2ndInning,Chennai,"Mar 11, 1996",Australia,India,Neutral,Neutral,First,Second
ODI # 1082,West Indies,Australia,Winner1stInning,Mohali,"Mar 14, 1996",Australia,,Neutral,Neutral,Second,First
ODI # 1083,Sri Lanka,Australia,Winner2ndInning,Lahore,"Mar 17, 1996",Sri Lanka,Pakistan,Neutral,Neutral,Second,First
ODI # 1084,New Zealand,West Indies,Winner2ndInning,Kingston,"Mar 26, 1996",West Indies,West Indies,Away,Home,First,Second
ODI # 1085,New Zealand,West Indies,Winner2ndInning,Port of Spain,"Mar 29, 1996",New Zealand,West Indies,Away,Home,Second,First
ODI # 1086,New Zealand,West Indies,Winner2ndInning,Port of Spain,"Mar 30, 1996",West Indies,West Indies,Away,Home,First,Second
ODI # 1088,Sri Lanka,Pakistan,Winner1stInning,Singapore,"Apr 2, 1996",Sri Lanka,,Neutral,Neutral,First,Second
ODI # 1089,Sri Lanka,India,Winner1stInning,Singapore,"Apr 3, 1996",India,,Neutral,Neutral,Second,First
ODI # 1090,New Zealand,West Indies,Winner1stInning,Georgetown,"Apr 3, 1996",New Zealand,West Indies,Away,Home,First,Second
ODI # 1091,Pakistan,India,Winner2ndInning,Singapore,"Apr 5, 1996",Pakistan,,Neutral,Neutral,Second,First
ODI # 1092,New Zealand,West Indies,Winner2ndInning,Kingstown,"Apr 6, 1996",West Indies,West Indies,Away,Home,First,Second
ODI # 1093,Sri Lanka,Pakistan,Winner1stInning,Singapore,"Apr 7, 1996",Pakistan,,Neutral,Neutral,Second,First
ODI # 1094,Pakistan,India,Winner1stInning,Sharjah,"Apr 12, 1996",Pakistan,U.A.E.,Neutral,Neutral,First,Second
ODI # 1095,South Africa,Pakistan,Winner1stInning,Sharjah,"Apr 13, 1996",South Africa,U.A.E.,Neutral,Neutral,First,Second
